name (tên sản phẩm hiện bên ngoài),path (đường dẫn trong hệ thống)
Landing page cho lớp học Pilates,./products/Onepage/14_web_desktop_onepage_landing page_asymmetric pilates landing page/
Landing page cho khoá học Pilates,./products/Onepage/15_web_desktop_onepage_landing page_overlapping dual-tone pilates site/
Trang Coming Soon cho xưởng rang cà phê thủ công,./products/Onepage/16_web_desktop_onepage_coming soon_artisan coffee roastery coming soon/
Landing page ra mắt thương hiệu thời trang xanh,./products/Onepage/17_web_desktop_onepage_coming soon_eco-fashion launch page/
Landing page giới thiệu sản phẩm AI NeuralNext,./products/Onepage/18_web_desktop_onepage_coming soon_AI tech startup teaser/
Trang Coming Soon cho agency sáng tạo,./products/Onepage/20_web_desktop_onepage_coming soon_creative agency coming soon/
Landing page giới thiệu thương hiệu thời trang ERIN,./products/Onepage/24_web_desktop_onepage_coming soon_modern fashion launch page/
Trang Coming Soon cho bộ sưu tập túi xách cao cấp ERIN,./products/Onepage/25_web_desktop_onepage_coming soon_luxury handbag teaser page/
Landing page nhá hàng khai trương trung tâm gaming,./products/Onepage/27_web_desktop_onepage_coming soon_gaming center launch teaser/
Trang Coming Soon cho khu nghỉ dưỡng nhiệt đới,./products/Onepage/29_web_desktop_onepage_coming soon_tropical resort coming soon/
Trang Coming Soon cho agency marketing,./products/Onepage/33_web_desktop_onepage_coming soon_bold marketing agency launch/
Trang Coming Soon cho resort nghỉ dưỡng nhiệt đới,./products/Onepage/36_web_desktop_onepage_coming soon_tropical escape resort lauch/
Trang chủ website lớp học Pilates (giao diện chia đôi),./products/Onepage/Done_13_web_desktop_onepage_landing page_modern split-screen pilates home/
Landing page dịch vụ thiết kế nội thất cao cấp,./products/Onepage/Done_19_web_desktop_onepage_coming soon_luxury interior design teaser/
Trang Coming Soon cho thương hiệu/nhà hàng The Rustic Root,./products/Onepage/Done_21_web_desktop_onepage_coming soon_gourmet restaurant launch page/
Landing page giới thiệu phụ kiện gaming CyberGear,./products/Onepage/Done_22_web_desktop_onepage_coming soon_gaming gear teaser page/
Trang Coming Soon cho thương hiệu chăm sóc da Aura,./products/Onepage/Done_23_web_desktop_onepage_coming soon_wellness & skincare launch/
Trang Coming Soon cho agency marketing sáng tạo,./products/Onepage/Done_26_web_desktop_onepage_coming soon_creative marketing agency teaser/
Landing page nhá hàng smartphone cao cấp,./products/Onepage/Done_28_web_desktop_onepage_coming soon_premium smartphone teaser/
Landing page ra mắt dòng mỹ phẩm cao cấp,./products/Onepage/Done_30_web_desktop_onepage_coming soon_premium cosmetics lauch page/
Trang Dropping Soon cho bộ sưu tập thời trang Streetwear,./products/Onepage/Done_31_web_desktop_onepage_coming soon_streetwear fashion coming soon/
Landing page giới thiệu sự kiện ra mắt Luxe,./products/Onepage/Done_32_web_desktop_onepage_coming soon_luxury hanbag teaser luxe/
Trang Coming Soon cho trung tâm gaming Neon Pixel,./products/Onepage/Done_34_web_desktop_onepage_coming soon_neon pixel gaming center/
Landing page nhá hàng smartphone thế hệ mới,./products/Onepage/Done_35_web_desktop_onepage_coming soon_next-gen smartphone teaser/
Trang Coming Soon cho thương hiệu mỹ phẩm Glow,./products/Onepage/Done_37_web_desktop_onepage_coming soon_aesthetic cosmetics coming soon/
Website trưng bày & bán sản phẩm Studio Templexa,./products/E-commerce/1_web_desktop_ecommerce_digital design_Blueprint Studio/
Website bán mỹ phẩm L’Essence Royale,./products/E-commerce/21_web_desktop_ecommerce_cosmetic_L essence royale/
Website bán mỹ phẩm hữu cơ An Nhiên Organics,./products/E-commerce/22_web_desktop_ecommerce_cosmetic_an nhien organic/
Website bán mỹ phẩm GlowUp VN,./products/E-commerce/23_web_desktop_ecommerce_cosmetic_glow up VN/
Website bán mỹ phẩm cao cấp Imperial Beauty,./products/E-commerce/24_web_desktop_ecommerce_cosmetic_imperial beauty/
Website bán mỹ phẩm K-Glow Ritual,./products/E-commerce/25_web_desktop_ecommerce_cosmetic_k-glow ritual/
Website bán mỹ phẩm dưỡng da Nhật Zen Beauty,./products/E-commerce/26_web_desktop_ecommerce_cosmetic_janpanese skincare art/
Website bán mỹ phẩm phong cách Châu Âu Parisian Elite,./products/E-commerce/27_web_desktop_ecommerce_cosmetic_parisian elite/
Website bán mỹ phẩm tổng hợp Global Beauty Hub,./products/E-commerce/28_web_desktop_ecommerce_cosmetic_global beauty hub marketplace/
Website bán xà bông thủ công Gói Ghém Thảo Mộc,./products/E-commerce/29_web_desktop_ecommerce_beauty care_goi ghem thao moc/
Website bán sản phẩm chăm sóc cơ thể Aura,./products/E-commerce/30_web_desktop_ecommerce_beauty care_aura bath & body/
Website bán sản phẩm tắm & chăm sóc toàn thân Sắc Tắm Modern,./products/E-commerce/31_web_desktop_ecommerce_beauty care_sac tam modern/
Website bán sản phẩm tóc & cơ thể từ thảo mộc Botanica Essence,./products/E-commerce/32_web_desktop_ecommerce_beauty care_botanica essence/
Website bán sản phẩm tóc & cơ thể Nordic Bath,./products/E-commerce/33_web_desktop_ecommerce_beauty care_nordic bath-pure hair & body/
Website bán sản phẩm chăm sóc cơ thể thủ công Silk & Stone,./products/E-commerce/34_web_desktop_ecommerce_beauty care_silk & stone/
Website bán sản phẩm chăm sóc tóc thảo mộc Verdant Essence,./products/E-commerce/35_web_desktop_ecommerce_beauty care_verdant essence/
Website bán đồ tắm & chăm sóc cơ thể Terra Apothecary,./products/E-commerce/36_web_desktop_ecommerce_beauty care_terra apothecary-modern bath essentials/
Website bán template Google Sheets CRM,./products/E-commerce/3_web_desktop_ecommerce_digital design_SheetFlow CRM/
Website bán sản phẩm/dịch vụ salon tóc L. Connors,./products/E-commerce/56_web_desktop_ecommerce_beauty care_connors hair salon portfolio/
Website bán sản phẩm thiết kế số (digital design),./products/E-commerce/5_web_desktop_ecommerce_digital design_The Art of Digital Design/
Website bán sản phẩm/dịch vụ trang điểm cô dâu Luxe,./products/E-commerce/Done_10_web_desktop_ecommerce_makeup_luxe bridal & beauty artist/
Website bán sản phẩm/dịch vụ làm đẹp Glow by Thanh,./products/E-commerce/Done_11_web_desktop_ecommerce_makeup_glow by thanh portfolio/
Website bán khoá học & dụng cụ trang điểm Sắc Việt,./products/E-commerce/Done_12_web_desktop_ecommerce_makeup_sac viet makeup studio/
Website bán sản phẩm/dịch vụ làm đẹp Mộc Miên,./products/E-commerce/Done_13_web_desktop_ecommerce_makeup_moc mien bridal beauty/
Website bán sản phẩm chăm sóc vẻ đẹp tự nhiên The Glow Studio,./products/E-commerce/Done_14_web_desktop_ecommerce_makeup_the glow studio/
Website bán sản phẩm makeup chuyên nghiệp Neon Muse,./products/E-commerce/Done_15_web_desktop_ecommerce_makeup_neon muse/
Website bán khoá học & dụng cụ trang điểm L’Art de Beauté,./products/E-commerce/Done_16_web_desktop_ecommerce_makeup_art de beauty/
Website bán mỹ phẩm thiên nhiên Mộc Trà Beauty,./products/E-commerce/Done_17_web_desktop_ecommerce_makeup_pure beauty/
Website bán sản phẩm chăm sóc tự nhiên Thảo Mộc Nhiên,./products/E-commerce/Done_18_web_desktop_ecommerce_makeup_thao moc nhien/
Website bán mỹ phẩm công nghệ/khoa học The Pure Lab,./products/E-commerce/Done_19_web_desktop_ecommerce_cosmetic_the pure lab/
Website bán mỹ phẩm Vibe Beauty,./products/E-commerce/Done_20_web_desktop_ecommerce_cosmetic_vibe beauty/
Website bán template giới thiệu doanh nghiệp (Discovery Business),./products/E-commerce/Done_2_web_desktop_ecommerce_digital design_Clean Simple Template/
Website bán thiệp cưới (mẫu thiệp & đặt in),./products/E-commerce/Done_4_web_desktop_ecommerce_event_Love Inviation/
Website bán dịch vụ & sản phẩm makeup LULU.,./products/E-commerce/Done_8_web_desktop_ecommerce_makeup_editorial makeup portfolio/
Website bán sản phẩm/dịch vụ studio makeup LULU,./products/E-commerce/Done_9_web_desktop_ecommerce_makeup_artistic vision makeup studio/
Trang thiệp mời sinh nhật 21 tuổi của Leo,./products/Invitation/12_web_desktop_birthday_vibrant 21st birthday/
Trang thiệp mời kỷ niệm 50 năm ngày cưới Margaret & John,./products/Invitation/15_web_desktop_annivesary_golden anniversary/
Trang thiệp mời khai mạc triển lãm “New Horizons”,./products/Invitation/16_web_desktop_annivesary_arrt gallery opening invite/
Trang thiệp mời dạ tiệc gây quỹ Hope Gala 2024,./products/Invitation/18_web_desktop_annivesary_charity gala invitation/
Trang thiệp mời dạ tiệc Giáng Sinh tối giản hiện đại,./products/Invitation/19_web_desktop_holiday_modern minimalist christmas gala/
Trang thiệp mời tiệc lễ hội sang trọng,./products/Invitation/21_web_desktop_holiday_luxury gold & charcoal/
Trang thiệp mời Giáng Sinh phong cách cabin mộc mạc,./products/Invitation/22_web_desktop_holiday_rustic cozy cabin christmas/
Trang thiệp mời workshop Giáng Sinh cho trẻ em,./products/Invitation/23_web_desktop_holiday_interactive kids christmas workshop/
Trang thiệp mời tiệc Giáng Sinh “Mùa Lễ Hội Đáng Nhớ”,./products/Invitation/24_web_desktop_holiday_festive christmas party/
Trang thiệp mời tiệc mừng Tết Nguyên Đán,./products/Invitation/25_web_desktop_holiday_lunar new year celebration/
Trang thiệp mời tiệc Spring Break phong cách nhiệt đới,./products/Invitation/29_web_desktop_holiday_tropical spring break/
Trang thiệp mời sinh nhật 30 tuổi phong cách hiện đại rực rỡ,./products/Invitation/Done_10_web_desktop_birthday_modern vibrant 30th birthday/
Trang thiệp mời sinh nhật Leo chủ đề Safari,./products/Invitation/Done_11_web_desktop_birthday_whimsical illustrated kids birthday/
Trang thiệp mời kỷ niệm 25 năm ngày cưới (Silver Jubilee),./products/Invitation/Done_13_web_desktop_annivesary_silver anniversary/
Trang thiệp mời kỷ niệm 10 năm thành lập công ty,./products/Invitation/Done_14_web_desktop_annivesary_corporate 10th anniversary/
Trang thiệp mời họp lớp THPT niên khóa 2005,./products/Invitation/Done_17_web_desktop_annivesary_high school reunion/
Trang thiệp mời đám cưới hoa cổ điển,./products/Invitation/Done_1_web_desktop_wedding_classic floral wedding invitaion/
Trang thiệp mời tiệc Giáng Sinh phong cách Retro thập niên 50,./products/Invitation/Done_20_web_desktop_holiday_retro 50s christmas party invite/
Trang thiệp mời tiệc biển mùa hè 2024,./products/Invitation/Done_26_web_desktop_holiday_summer beach bash/
Trang thiệp mời kỳ nghỉ “Winter Wonderland”,./products/Invitation/Done_27_web_desktop_holiday_winter wonderland retreat/
Trang thiệp mời lễ hội mùa thu (Harvest Festival),./products/Invitation/Done_28_web_desktop_holiday_autum harvest festival/
Trang thiệp mời đám cưới Boho của Sara & David,./products/Invitation/Done_2_web_desktop_wedding_boho chic wedding invite/
Trang save the date phong cách lan tím sang trọng,./products/Invitation/Done_3_web_desktop_wedding_luxury dark orchid invite/
Trang thiệp mời cưới tối giản kiểu editorial (A + J),./products/Invitation/Done_4_web_desktop_wedding_minimalist editorial wedding invation/
Trang thiệp mời tiệc sang trọng Mary & Anno,./products/Invitation/Done_5_web_desktop_wedding_lxxury dark mode celebration landing page/
Trang thiệp mời đám cưới Mary & Anno,./products/Invitation/Done_6_web_desktop_wedding_soft romantic floral wedding landing page/
Trang thiệp mời đám cưới Marcus & Elena,./products/Invitation/Done_7_web_desktop_wedding_elegant wedding invitation/
Trang thiệp mời sinh nhật phong cách neon hiện đại,./products/Invitation/Done_8_web_desktop_birthday_modern neon birrthday invite/
Trang thiệp mời sinh nhật 1 tuổi của Leo (chủ đề Wild One),./products/Invitation/Done_9_web_desktop_birthday_whimsical first birthday invite/
Trang portfolio motion designer Kai Nakamura,./products/Portfolio/10_web_desktop_portfolio_playful illustration 2_fullpage/
Trang portfolio hoạ sĩ trừu tượng Elena Voron,./products/Portfolio/11_web_desktop_portfolio_abstract painter portfolio/
Trang portfolio thiết kế web truyện tranh Kenji Hiroshi,./products/Portfolio/12_web_desktop_portfolio_comic web designer/
Trang portfolio thiết kế thương hiệu Sienna Banks,./products/Portfolio/13_web_desktop_portfolio_brand design/
Trang portfolio thiết kế nội thất Lana Nguyen,./products/Portfolio/14_web_desktop_portfolio_interior designer/
Trang portfolio nhạc sĩ/soạn nhạc Ethan Reed,./products/Portfolio/15_web_desktop_portfolio_music composer/
Trang portfolio hoạ sĩ truyện tranh Mika Sato,./products/Portfolio/16_web_desktop_portfolio_comic artist/
Blog/portfolio du lịch “Nhật Ký Xê Dịch”,./products/Portfolio/17_web_desktop_personal blog_travel blog the wanderlust journal/
Blog công nghệ & thiết kế “Code & Canvas”,./products/Portfolio/18_web_desktop_personal blog_tech & design blog code & canvas/
Trang portfolio huấn luyện thở & cân bằng (Maya Sterling),./products/Portfolio/19_web_desktop_personal blog_holistic wellness blog/
Trang portfolio thiết kế đồ hoạ Elena Rossi,./products/Portfolio/1_web_desktop_portfolio_modern graphic design portfolio/
Blog ẩm thực “Bếp Hiện Đại” của David Chen,./products/Portfolio/20_web_desktop_personal blog_culinary adventures blog/
Blog gia đình “Tổ Ấm Nhỏ”,./products/Portfolio/21_web_desktop_personal blog_cozy family blog the homefront/
Blog gia đình khám phá “Trái Tim Phiêu Lưu”,./products/Portfolio/22_web_desktop_personal blog_adventure family blog/
Trang portfolio quay phim nghệ thuật Julian Vane,./products/Portfolio/2_web_desktop_portfolio_artistic cinematography/
Trang portfolio minh hoạ Maya Chen,./products/Portfolio/3_web_desktop_portfolio_playful illustration/
Trang portfolio data analyst Alex Nguyen,./products/Portfolio/4_web_desktop_portfolio_dataa analyst/
Trang portfolio giám đốc sáng tạo Sophia Laurent,./products/Portfolio/5_web_desktop_portfolio_artistic creative director/
Trang portfolio software engineer Marcus Chen,./products/Portfolio/6_web_desktop_portfolio_software engineer/
Trang portfolio kiến trúc sư cảnh quan Liam Sterling,./products/Portfolio/8_1_landscape_architect_portfolio_-_liam_sterling_1/
Trang portfolio nhiếp ảnh Julian Vane,./products/Portfolio/8_2_landscape_architect_portfolio_-_liam_sterling_2/
Trang portfolio nhiếp ảnh Julian Vane (bản 2),./products/Portfolio/8_3_landscape_architect_portfolio_-_liam_sterling_3/
Trang portfolio data analyst Leo Dang,./products/Portfolio/9_1_tech_product_designer_portfolio_-_xavier_vance_1/
Trang portfolio data analyst Leo Dang (bản 2),./products/Portfolio/9_2_tech_product_designer_portfolio_-_xavier_vance_2/
Trang portfolio data analyst Leo Dang (bản 3),./products/Portfolio/9_3_tech_product_designer_portfolio_-_xavier_vance_3/
Trang giới thiệu khóa học Sử Việt (Thầy Quang Vinh),./products/Education/10_web_desktop_ecommerce_course_su viec academy/
Trang chủ học viện DesignUp (nhận diện mới),./products/Education/11_web_desktop_ecommerce_course_designup academy/
Trang chủ học viện thiết kế (biến thể 2),./products/Education/12_web_desktop_ecommerce_course_hoc thiet ke cung chuyen gia/
Trang chủ học viện CreativeEdge (nhận diện mới),./products/Education/13_web_desktop_ecommerce_course_hoc thiet ke cung creativedge/
Trang chủ trung tâm đào tạo chứng chỉ EduCert,./products/Education/14_web_desktop_ecommerce_course_trang chu dao tao chung chi educert/
Trang chủ học viện nhiếp ảnh Visionary,./products/Education/1_web_desktop_ecommerce_course_hoc vien nhiep anh visionary/
Trang chủ lớp học Tarot Mystic,./products/Education/2_web_desktop_ecommerce_course_trung tam tarot huyen bi/
Trang chủ học viện Data Expert (đào tạo BA/DA),./products/Education/3_web_desktop_ecommerce_course_hoc vien data expert/
Trang chủ khóa học viết lách Bút Vàng,./products/Education/41_web_desktop_ecommerce_course_but vang academy/
Trang chủ khóa học Digital Marketing Growth Hub,./products/Education/42_web_desktop_ecommerce_course_growth hub/
Trang chủ chương trình Quản trị Kinh doanh Global Elite,./products/Education/43_web_desktop_ecommerce_course_global elite/
Trang chủ khóa học Phân tích dữ liệu DataMind,./products/Education/44_web_desktop_ecommerce_course_datamind/
Trang chủ học viện kỹ năng mềm Tâm Thế,./products/Education/45_web_desktop_ecommerce_course_tam the academy/
Trang chủ trường mỹ thuật The Canvas Atelier,./products/Education/46_web_desktop_ecommerce_course_the canvas atelier/
Trang chủ học viện điêu khắc Sculpt & Form,./products/Education/47_web_desktop_ecommerce_course_sculpt & form/
Trang chủ khóa học lịch sử & phục chế nghệ thuật,./products/Education/48_web_desktop_ecommerce_course_art heritage studio/
Trang chủ lớp kỹ năng mềm chuyên nghiệp SoftSkill Master Class,./products/Education/4_web_desktop_ecommerce_course_softskill master/
Trang chủ khóa ôn thi đại học Thẳng Tiến,./products/Education/52_web_desktop_ecommerce_course_dai hoc thang tien/
Trang chủ trung tâm chứng chỉ nghề nghiệp CertiMaster,./products/Education/53_web_desktop_ecommerce_course_certimaster/
Trang chủ khóa học bán hàng thực chiến SalePro,./products/Education/54_web_desktop_ecommerce_course_salepro/
Trang chủ luyện thi đại học Học Viện Thủ Khoa,./products/Education/5_web_desktop_ecommerce_course_hoc vien thu khoa/
Trang chủ khóa Toán 9+ MathMaster,./products/Education/6_web_desktop_ecommerce_course_mathmaster/
Trang giới thiệu lớp Văn Chương Tâm Hồn (Cô Mai Anh),./products/Education/7_web_desktop_ecommerce_course_van chuong tam hon/
Trang chủ khóa học Vật Lý Physics Pro,./products/Education/8_web_desktop_ecommerce_course_physics pro/
Trang chủ lớp học Hóa học thú vị Chemistry Fun House,./products/Education/9_web_desktop_ecommerce_course_chemistry fun/
Trang chủ học viện kỹ năng mềm Khai Phá Tiềm Năng,./products/Education/Bug_38_web_desktop_ecommerce_course_khai pha tiem nang/
Trang chủ học viện luyện thi KHTN chuyên sâu,./products/Education/Done_37_web_desktop_ecommerce_course_hoc vien luyen thi khoa hoc tu nhien/
Trang chủ trung tâm đào tạo chứng chỉ quốc tế,./products/Education/Done_39_web_desktop_ecommerce_course_trung tam dao tao chung chi quoc te/
Trang chủ trường kinh doanh L. Chang (nâng tầm sự nghiệp),./products/Education/Done_40_web_desktop_ecommerce_course_trang chu khoa hoc chuyen nghiep/
Trang chủ học viện mỹ thuật Họa Sắc Việt,./products/Education/Done_49_web_desktop_ecommerce_course_hoa sac viet/
Trang chủ học viện mỹ thuật số ArtTech,./products/Education/Done_50_web_desktop_ecommerce_course_artTech academy/
Trang chủ khóa lịch sử & thưởng thức hội họa Tinh Hoa Hội Họa,./products/Education/Done_51_web_desktop_ecommerce_course_tinh hoa hoi hoa/
Trang chủ khóa học tiếng Anh online FluentFlow,./products/Education/Done_55_web_desktop_ecommerce_course_FluentFlow/
Dashboard quản lý đơn hàng,./products/Google-sheet/1_cover/
Bảng mục tiêu năm mới,./products/Google-sheet/1_purple/
Dashboard quản trị dự án,./products/Google-sheet/2_cover/
Bảng theo dõi chi tiêu,./products/Google-sheet/2_purple/
Bảng thời gian biểu,./products/Google-sheet/3_yellow/
